date,symbol,total,technical,fundamental,supply_demand,market,valuation,dividend
2026-07-24,8058.T,69,17,11,0,-5,0,0
2026-07-24,5805.T,72,3,18,0,-5,6,0
2026-07-24,8473.T,70,9,6,0,-5,7,3
2026-07-24,5401.T,69,17,10,0,-5,-6,3
2026-07-24,4307.T,68,11,7,0,-5,5,0
2026-07-24,3741.T,67,4,18,0,-5,0,0
2026-07-24,7164.T,67,-2,18,0,-5,3,3
2026-07-24,5802.T,66,-5,18,0,-5,8,0
2026-07-24,8425.T,66,10,8,0,-5,0,3
2026-07-24,1605.T,59,14,0,0,-5,0,0
2026-07-24,9202.T,53,-13,18,0,-5,3,0
2026-07-24,8306.T,51,20,-1,0,-5,-13,0
2026-07-24,3048.T,51,5,11,0,-5,-10,0
2026-07-24,8252.T,46,-2,-3,0,-5,3,3
2026-07-24,8593.T,43,13,-3,0,-5,-15,3
2026-07-24,2802.T,43,-20,15,0,-5,3,0
2026-07-24,8303.T,41,-10,8,0,-5,-2,0
2026-07-24,4188.T,34,3,-1,0,-5,-13,0
